"id","Label","Type","Importance","Gender","Origin","Imp_int"
"frod","Frodo","Hobbit","2040","male","Shire","3"
"goll","Gollum","Hobbit","581","male","MiddleEarth","2"
"merr","Merry","Hobbit","595","male","Shire","2"
"gimli","Gimli","Dwarf","403","male","LonelyMountain","2"
"ganda","Gandalf","Ainur","1235","male","MiddleEarth","3"
"fara","Faramir","Man","313","male","Gondor","2"
"arag","Aragorn","Man","1069","male","Gondor","3"
"pipp","Pippin","Hobbit","771","male","Shire","2"
"boro","Boromir","Man","293","male","Gondor","2"
"saru","Saruman","Ainur","312","male","Isengard","2"
"lego","Legolas","Elf","346","male","Mirkwood","2"
"sams","Sam","Hobbit","1400","male","Shire","3"
"eome","Éomer","Man","238","male","Rohan","2"
"treeb","Treebeard","Ent","221","male","MiddleEarth","2"
"grim","Wormtongue","Man","65","male","Rohan","1"
"ring","Ring","Object","427","","MiddleEarth","2"
"saur","Sauron","Ainur","339","male","Mordor","2"
"eorl","Eorl","Man","56","male","Rohan","1"
"elro","Elrond","Elf","240","male","Rivendell","2"
"theod","Théoden","Man","246","male","Rohan","2"
"bilb","Bilbo","Hobbit","385","male","Shire","2"
"dene","Denethor","Man","168","male","Gondor","1"
"gala","Galadriel","Elf","95","female","Lorien","1"
"gorb","Gorbag","Orc","30","male","MiddleEarth","1"
"duri","Durin","Dwarf","54","male","Moria","1"
"eowy","Éowyn","Man","115","female","Rohan","1"
"nazg","Nine Riders","Man","54","","Mordor","1"
"cele","Celeborn","Elf","51","male","Lorien","1"
"gloi","Glóin","Dwarf","52","male","LonelyMountain","1"
"gild","Gildor","Elf","32","male","MiddleEarth","1"
"hald","Haldir","Elf","44","male","Lorien","1"
