IdSource,IdTarget,Weight
frod,sams,158
goll,sams,101
frod,goll,99
merr,pipp,51
gimli,lego,50
ganda,saru,49
ganda,theod,46
fara,frod,41
isen,saru,41
arag,ganda,38
ents,treeb,38
ganda,isen,35
arag,lego,34
arag,orcs,30
arag,gimli,28
pipp,orcs,27
ganda,treeb,26
merr,treeb,25
orth,saru,25
fara,sams,24
ganda,lego,23
ganda,orth,23
ganda,pipp,23
pipp,treeb,23
ganda,gimli,22
arag,eome,21
boro,frod,21
ganda,sfax,21
arag,saru,20
frod,mord,20
isen,orcs,19
arag,roha,18
boro,fara,18
fara,gond,18
frod,orcs,18
gimli,treeb,18
merr,orcs,18
saru,treeb,18
arag,boro,17
arag,frod,17
roha,saru,17
isen,treeb,16
lego,orcs,16
arag,pipp,15
arag,treeb,15
ents,pipp,15
ganda,grim,15
ganda,merr,15
isen,roha,15
lego,treeb,15
sams,orcs,15
saru,theod,15
ents,isen,14
eome,ganda,14
fara,goll,14
goll,mord,14
saru,orcs,14
arag,theod,13
boro,orcs,13
eome,theod,13
frod,ring,13
ganda,roha,13
goll,orcs,13
isen,merr,13
isen,orth,13
pipp,saru,13
treeb,orcs,13
arag,isen,12
ents,merr,12
frod,ganda,12
ganda,mord,12
isen,pipp,12
merr,saru,12
mord,sams,12
arag,merr,11
comp,frod,11
ents,saru,11
eome,saru,11
frod,gond,11
ganda,saur,11
gimli,saru,11
grim,saru,11
mord,saur,11
roha,treeb,11
saru,saur,11
arag,elen,10
boro,comp,10
frod,morg,10
frod,saur,10
isen,mord,10
mord,orcs,10
ring,sams,10
roha,theod,10
saur,orcs,10
arag,arat,9
arag,gond,9
arag,saur,9
arag,tiri,9
boro,ganda,9
boro,gond,9
boro,sams,9
elve,treeb,9
ents,ganda,9
frod,shir,9
ganda,orcs,9
ganda,ring,9
ganda,sams,9
gimli,gloi,9
gimli,orcs,9
merr,roha,9
andu,gond,8
boro,dene,8
boro,ring,8
boro,tiri,8
eome,orcs,8
fara,ganda,8
goll,saur,8
gond,saur,8
roha,orcs,8
sfax,theod,8
arag,comp,7
arag,mord,7
arag,orth,7
arag,sams,7
arag,sfax,7
edor,ganda,7
elve,frod,7
elve,sams,7
eome,gimli,7
eome,grim,7
eome,lego,7
eorl,theod,7
ganda,mori,7
gond,saru,7
gond,tiri,7
grim,theod,7
isen,saur,7
isen,theod,7
mord,saru,7
pipp,roha,7
sams,saur,7
sams,shel,7
sams,shir,7
comp,ganda,6
comp,orcs,6
elro,frod,6
elve,ents,6
elve,ganda,6
ents,orcs,6
eome,isen,6
fara,isil,6
fara,morg,6
fara,tiri,6
frod,gala,6
frod,gimli,6
frod,lori,6
frod,mori,6
frod,rive,6
frod,tiri,6
ganda,gond,6
goll,morg,6
gond,theod,6
isen,lego,6
isen,ring,6
lego,roha,6
ring,saru,6
roha,saur,6
arag,elve,5
arag,ents,5
arag,lori,5
arag,mori,5
boro,isil,5
boro,lori,5
boro,rive,5
comp,ring,5
dwar,elve,5
edor,isen,5
elen,gond,5
elro,ganda,5
elve,fara,5
elve,gimli,5
