"Source","Target","Weight"
"frod","sams",193
"ganda","pipp",79
"merr","pipp",45
"arag","ganda",34
"dene","ganda",34
"dene","pipp",34
"gimli","lego",32
"arag","gimli",28
"bere","pipp",27
"frod","pipp",27
"arag","lego",26
"arag","eome",24
"fara","ganda",24
"fara","pipp",24
"frod","ganda",24
"arag","merr",21
"dene","fara",21
"eowy","merr",21
"pipp","sams",21
"arag","pipp",20
"eome","theod",20
"arag","fara",19
"eowy","fara",18
"bere","fara",17
"eome","eowy",17
"merr","theod",17
"bilb","frod",16
"frod","merr",16
"merr","sams",16
"bere","ganda",15
"ganda","saur",15
"arag","elro",14
"arag","eowy",14
"lego","merr",14
"ganda","merr",13
"arag","theod",12
"eome","merr",12
"gimli","merr",12
"goll","sams",12
"bere","dene",11
"boro","dene",11
"boro","pipp",11
"frod","goll",11
"ganda","gimli",11
"ganda","lego",11
"arag","frod",10
"bilb","sams",10
"eome","ganda",10
"ganda","sams",10
"arag","saur",9
"eowy","theod",9
"lego","pipp",9
"arag","sams",8
"boro","ganda",8
"elro","ganda",8
"gala","sams",8
"ganda","saru",8
"gimli","pipp",8
"sams","saur",8
"cele","gala",7
"grim","saru",7
"arwe","elro",6
"boro","fara",6
"dene","theod",6
"elro","gala",6
"eome","gimli",6
"eome","lego",6
"frod","gimli",6
"frod","saru",6
"elro","eome",5
"elro","frod",5
"elro","lego",5
"eome","fara",5
"eorl","theod",5
"fara","frod",5
"frod","gala",5
"frod","lego",5
"frod","saur",5
"ganda","theod",5
"gimli","sams",5
"gorb","sams",5
"merr","saru",5
"arag","bere",4
"bilb","elro",4
"elro","gimli",4
"elro","merr",4
"eome","pipp",4
"eowy","ganda",4
"fara","merr",4
"frod","gorb",4
"gimli","gloi",4
"lego","sams",4
"saru","theod",4
"arag","arwe",3
"arag","boro",3
"bere","boro",3
"bilb","ganda",3
"cele","elro",3
"dene","saur",3
"elro","sams",3
"elro","theod",3
"eome","eorl",3
"fara","theod",3
"frod","grim",3
"gala","ganda",3
"nazg","pipp",3
"pipp","saur",3
"arag","bilb",2
"arag","dene",2
"arag","gala",2
"arag","gloi",2
"arag","saru",2
"arwe","cele",2
"arwe","eome",2
"arwe","gala",2
"bilb","gala",2
"bilb","pipp",2
"boro","merr",2
"boro","saur",2
"dene","frod",2
"dene","merr",2
"elro","eowy",2
"elro","fara",2
"eorl","eowy",2
"eowy","lego",2
"eowy","saur",2
"fara","goll",2
"fara","sams",2
"fara","saur",2
"frod","nazg",2
"ganda","goll",2
"ganda","nazg",2
"gimli","theod",2
"grim","theod",2
"nazg","sams",2
"saru","saur",2
"saur","theod",2
"arag","cele",1
"arag","duri",1
"arag","eorl",1
"arwe","fara",1
"arwe","frod",1
"arwe","theod",1
"bere","eome",1
"bere","frod",1
"bere","nazg",1
"bilb","gild",1
"boro","frod",1
"boro","theod",1
"cele","ganda",1
"cele","theod",1
"dene","eome",1
"dene","eorl",1
"dene","sams",1
"dene","saru",1
"elro","gild",1
"elro","pipp",1
"eome","frod",1
"eome","gloi",1
"eorl","grim",1
"eorl","saru",1
"eowy","gimli",1
"eowy","grim",1
"fara","gala",1
"frod","theod",1
"gala","gild",1
"gala","lego",1
"gala","merr",1
"gala","pipp",1
"gala","saru",1
"gala","saur",1
"gala","theod",1
"ganda","grim",1
"gild","sams",1
"gimli","saur",1
"goll","pipp",1
"grim","merr",1
"grim","sams",1
"lego","saur",1
"lego","theod",1
"merr","saur",1
"pipp","saru",1
"pipp","theod",1
"sams","saru",1
